id,url,host,type,used_in
1,https://pub-010e8de3204a4ed28c74880b1d5e91d3.r2.dev/nexuron-assets/Gemini_Generated_Image_v35lzgv35lzgv35l-1-scaled.png,r2,hire_why_section,"19 hire pages + WhyHireWix.js"
2,https://pub-010e8de3204a4ed28c74880b1d5e91d3.r2.dev/nexuron-assets/Gemini_Generated_Image_aedwupaedwupaedw.png,r2,hire_hero,"javascript, python, laravel, dotnet, angular, vuejs, nodejs, python-aiml, ai-developer"
3,https://pub-010e8de3204a4ed28c74880b1d5e91d3.r2.dev/nexuron-assets/Gemini_Generated_Image_tkjd4ftkjd4ftkjd.png,r2,hire_hero,"flutter, wix, php, devops, zapier, shopify, n8n, react, react-native, woocommerce, wordpress"
4,https://pub-010e8de3204a4ed28c74880b1d5e91d3.r2.dev/nexuron-assets/19362653-scaled.jpg,r2,service_hero,laravel
5,https://pub-010e8de3204a4ed28c74880b1d5e91d3.r2.dev/nexuron-assets/4799410-scaled.jpg,r2,service_hero,"dot-net service + AboutExecutives.js"
6,https://pub-010e8de3204a4ed28c74880b1d5e91d3.r2.dev/nexuron-assets/8068473_63484-scaled.jpg,r2,service_hero,graphic
7,https://pub-010e8de3204a4ed28c74880b1d5e91d3.r2.dev/nexuron-assets/4859197-scaled.jpg,r2,service_hero,wordpress
8,https://pub-010e8de3204a4ed28c74880b1d5e91d3.r2.dev/nexuron-assets/thanit2022february_53-scaled.jpg,r2,service_hero,iot
9,https://pub-010e8de3204a4ed28c74880b1d5e91d3.r2.dev/nexuron-assets/10504567_4478107-scaled.jpg,r2,service_hero,android
10,https://pub-010e8de3204a4ed28c74880b1d5e91d3.r2.dev/nexuron-assets/2304.i039.016.F.m004.c9.AI-generated-art-AI-powered-content-creation-isometric-scaled.jpg,r2,service_hero,ai-ml
11,https://pub-010e8de3204a4ed28c74880b1d5e91d3.r2.dev/nexuron-assets/representations-user-experience-interface-design-1-scaled.jpg,r2,service_hero,flutter
12,https://pub-010e8de3204a4ed28c74880b1d5e91d3.r2.dev/nexuron-assets/11194863-scaled.jpg,r2,service_hero,3d
13,https://pub-010e8de3204a4ed28c74880b1d5e91d3.r2.dev/nexuron-assets/4413519.jpg,r2,service_hero,php
14,https://pub-010e8de3204a4ed28c74880b1d5e91d3.r2.dev/nexuron-assets/7040951-scaled.jpg,r2,service_hero,"mean-mern + devops"
15,https://pub-010e8de3204a4ed28c74880b1d5e91d3.r2.dev/nexuron-assets/5757453-1-scaled.jpg,r2,service_hero,ui-ux
16,https://pub-010e8de3204a4ed28c74880b1d5e91d3.r2.dev/nexuron-assets/Wavy_Trv-02_Single-09-scaled.jpg,r2,service_hero,frontend
17,https://pub-010e8de3204a4ed28c74880b1d5e91d3.r2.dev/nexuron-assets/4428861-1-scaled.jpg,r2,service_hero,react-native
18,https://pub-010e8de3204a4ed28c74880b1d5e91d3.r2.dev/nexuron-assets/5809368-scaled.jpg,r2,service_hero,ios
19,https://pub-010e8de3204a4ed28c74880b1d5e91d3.r2.dev/nexuron-assets/DE_LOGO-02-1-removebg-preview.png,r2,home_client_logo,WhyChooseUs.js
20,https://pub-010e8de3204a4ed28c74880b1d5e91d3.r2.dev/nexuron-assets/logo-footer-180x98-1-e1757675833449.png,r2,home_client_logo,WhyChooseUs.js
21,https://pub-010e8de3204a4ed28c74880b1d5e91d3.r2.dev/nexuron-assets/Avishkar-02-e1757426517727.png,r2,home_client_logo,WhyChooseUs.js
22,https://pub-010e8de3204a4ed28c74880b1d5e91d3.r2.dev/nexuron-assets/25.png,r2,home_decorative,WhyChooseUs.js
23,https://pub-010e8de3204a4ed28c74880b1d5e91d3.r2.dev/nexuron-assets/22.png,r2,home_decorative,AboutUs.js
24,https://pub-010e8de3204a4ed28c74880b1d5e91d3.r2.dev/nexuron-assets/Gemini_Generated_Image_j8aemyj8aemyj8ae-1-Photoroom-1.png,r2,about_team,AboutTeam.js
25,https://pub-010e8de3204a4ed28c74880b1d5e91d3.r2.dev/nexuron-assets/umesh-kaka.png,r2,about_team,AboutTeam.js
26,https://pub-010e8de3204a4ed28c74880b1d5e91d3.r2.dev/nexuron-assets/WhatsApp-Image-2025-09-19-at-10.27.17_91c19221.jpg,r2,about_team,AboutTeam.js
27,https://pub-010e8de3204a4ed28c74880b1d5e91d3.r2.dev/nexuron-assets/WhatsApp-Image-2025-09-19-at-10.36.35_a4108010.jpg,r2,about_team,AboutTeam.js
28,https://pub-010e8de3204a4ed28c74880b1d5e91d3.r2.dev/nexuron-assets/kandarp.png,r2,about_team,AboutTeam.js
29,https://pub-010e8de3204a4ed28c74880b1d5e91d3.r2.dev/nexuron-assets/WhatsApp-Image-2025-09-19-at-11.00.12_6c5ec99d.jpg,r2,about_team,AboutTeam.js
30,https://pub-010e8de3204a4ed28c74880b1d5e91d3.r2.dev/nexuron-assets/v4.jpg,r2,about_team,AboutTeam.js
31,https://pub-010e8de3204a4ed28c74880b1d5e91d3.r2.dev/nexuron-assets/WhatsApp-Image-2025-09-19-at-15.33.16_ec202b75.jpg,r2,about_team,AboutTeam.js
32,https://pub-010e8de3204a4ed28c74880b1d5e91d3.r2.dev/nexuron-assets/20.jpg,r2,about_testimonials_bg,AboutTestimonials.js
33,https://pub-010e8de3204a4ed28c74880b1d5e91d3.r2.dev/nexuron-assets/badge.png,r2,about_testimonials,AboutTestimonials.js
34,https://pub-010e8de3204a4ed28c74880b1d5e91d3.r2.dev/nexuron-assets/3.jpg,r2,about_testimonials_bg,AboutTestimonials.js
35,https://pub-010e8de3204a4ed28c74880b1d5e91d3.r2.dev/nexuron-assets/quote.png,r2,about_testimonials,AboutTestimonials.js
36,/logo-dark-t-e1756917561911.png,local,logo,"Header, Login, AdminSidebar, NavigationLoader"
37,/logo-light-t-e1756834855898.png,local,logo,"Header, Footer"
38,https://pub-010e8de3204a4ed28c74880b1d5e91d3.r2.dev/new_unique_home/logo-dark-t-e1756835036599.png,r2,logo,Footer.js (home)
